Disease,Food to Eat,Food to Avoid
Hypothyroidism,"Iodine-rich foods: Seaweed (nori, kelp, wakame), fish (cod, tuna, salmon), dairy products, eggs, and iodized salt. Selenium-rich foods: Brazil nuts, tuna, sardines, eggs, legumes. Zinc-rich foods: Oysters, beef, chicken, pumpkin seeds, yogurt. Omega-3 fatty acids: Fatty fish (salmon, mackerel, sardines), flaxseeds, chia seeds, walnuts. Antioxidant-rich foods: Berries, dark leafy greens, nuts, green tea. Fiber-rich foods: Whole grains, fruits, vegetables, legumes. ","Excess fiber from beans, legumes, and vegetables, Goitrogens: Raw cruciferous vegetables (broccoli, cauliflower, cabbage), soy products, millets, cassava, Processed foods and sugars,Excessive alcohol"
Hyperthyroidism,"Low-iodine foods: Fruits, vegetables (especially leafy greens), whole grains (rice, oats), lean proteins, and healthy fats, Selenium-rich foods: Brazil nuts, mushrooms, meat (beef, lamb), poultry, chia seeds, and sunflower seeds, Zinc-rich foods: Beef, chickpeas, cocoa powder, cashews, mushrooms, pumpkin seeds, and lamb, Antioxidant-rich foods: Berries, fruits, and vegetables, Spices: Turmeric, green chilies, and black pepper. ","Iodine-rich foods: Seaweed, fish, shellfish, oysters, and any food fortified with iodine, Dairy products, Caffeine, Processed foods, Sugar and sugary drinks, Gluten, Red meat, Trans fats, soy products, Cruciferous vegetables, Alcohol"
Hypoglycemia,"Lean Proteins(chicken, fish, eggs, tofu, Greek yogurt), Complex Carbohydrates (Whole grains, beans, and lentils), Non-Starchy Vegetables(Leafy greens, peppers, tomatoes, and onions), Healthy Fats(Nuts, seeds, and avocados), Fruits, Low-Carb Milk and Yogurt, Fiber-Rich Foods (Oatmeal, salads, and seafood)","Sugary Foods and Drinks, Refined Grains (White bread, white rice, and pastries), Excessive Caffeine and Alcohol"
Osteoarthristis,"Fruits and Vegetables, Whole Grains, Healthy Fats(Found in fish, nuts, seeds, and olive oil), Legumes (Beans, lentils, and peas), Dairy and Dairy Alternatives, Anti-inflammatory Spices(ginger, turmeric and garlic), Omega-3 Fatty acids ","Processed Foods, Refined Carbohydrates(White rice, pasta, and pastries), Sugary Drinks (Sodas, juices, and sweetened beverages), Alcohol"
Arthritis,"Fatty Fish, Garlic and Onions, Ginger, Broccoli, walnuts, berries, Green vegetables, mediterranean Diet","Red Meat and Processed Meats, Refined Sugar and Processed Foods, Excessive Salt Intake, Sugar-Sweetened Beverages and Alcohol, Nightshade Vegetables (Potatoes, Tomatoes, Eggplant, Peppers)"
(vertigo) Paroymsal  Positional Vertigo,"Fruits and vegetables, Leafy greens,Potassium-rich foods:
Bananas and avocados, Omega-3 fatty acids, Ginger, Whole grains:
Brown rice, oats, and whole wheat bread, Lean proteins:
Eggs, yogurt, and beans","Alcohol, Caffeine,High sodium foods, Processed foods, and canned goods, sugary foods and drinks, dairy products , Fried and fatty foods"
Acne,"Omega-3 Fatty Acids(fatty fish (salmon, mackerel), nuts, seeds, and fish oil), Antioxidants(Blueberries, leafy greens, red cabbage, green tea, and foods like red grapes, mulberries, and peanuts), Fiber-Rich Foods (Oatmeal, beans, apples, carrots, and whole grains like quinoa, whole wheat, and brown rice), Vitamine and Minerals , Healthy fats, Lean Protein: Turkey, chicken, fish, tofu","High Glycemic Index Foods(White bread, white rice, sugary foods, potato fries, milkshakes), Processed Foods (Refined grains, sugary drinks, fast food), Dairy Products, Refined Sugar, Trans Fats, Caffeine and Alcohol "
Urinary tract infection,"Cranberries, Blueberries and other berries, Foods rich in Vitamin C(oranges, grapefruits, strawberries, and green leafy vegetables), Probiotic-rich foods (Yogurt, sauerkraut, and kimchi), High-fiber foods(include beans, lentils, and whole grains), Garlic, Salmon and other cold-water fish, Water ","High-sugar foods and drinks(soda, candy, and sweetened beverages), Caffeine, Acidic fruits and foods(emons, oranges, and tomatoes, Spicy foods, Alcohol "
Psoriasis,"Fruits and Vegetables, Lean Proteins(Choose fish, poultry, and beans), Whole Grains, Healthy Fats(olive oil, avocados, and nuts), Whole Grains, Healthy Fats, Low-Fat Dairy, Fish and Seafood, Legumes (Beans and Lentils), Nut and seeds, ","Red Meat, Processed Foods, Dairy, Nightshades(Tomatoes, potatoes, eggplants, and peppers), Alcohol, High-Glycemic Foods (Sugary drinks, processed snacks, and refined grains), Gluten"
Impetigo,"Zinc-rich foods (Beef, lamb, pork, oysters, chickpeas, lentils, beans, and pumpkin seeds), Protein-rich foods (Lean meats (chicken, turkey), fish, dairy products (milk, cheese, yogurt), legumes (beans, lentils), and eggs), Foods with antioxidants (Ginger, turmeric, green tea, fresh leaves (coriander, mint, basil)","Foods with high bacterial risk: Aged cheeses, raw eggs, raw fish, undercooked meats, and raw peanut butter. 
Foods that may worsen skin inflammation: Processed foods, sugary drinks, and excessive caffeine. "
